code,year,parish,pretrial_date,total_jail_pretrial,prison_adm_count,total_pop,jail_pretrial_rate,prison_adm_rate,us_comparison_pretrial,us_comparison_prison_adm,la_comparison_pretrial,la_comparison_prison_adm,,over_1000_19,over_1000_99,buildingmap1,buildingmap2
22065,2021,Madison Parish,11/26/21,443,25,10951,404.5292667,22.82896539,Greater than twice the national average,"Above the national average, but not twice the national average",Greater than twice the state average,Less than the state average,,2,0,0,0
22067,2021,Morehouse Parish,11/26/21,102.6,72,24874,41.24788936,28.94588727,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,0,0,0,0
22069,2021,Natchitoches Parish,11/26/21,103,83,38158,26.99302898,21.75166413,"Above the national average, but not twice the national average","Above the national average, but not twice the national average",Less than the state average,Less than the state average,,0,0,0,0
22071,2021,Orleans Parish,11/26/21,715,461,390144,18.3265666,11.81614993,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,,2,2,0,0
22073,2021,Ouachita Parish,11/26/21,565,512,153279,36.86088766,33.40314068,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,2,0,0,0
22075,2021,Plaquemines Parish,11/26/21,49.5,67,23197,21.33896625,28.88304522,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22077,2021,Pointe Coupee Parish,11/26/21,41.4,47,21730,19.05200184,21.62908422,"Above the national average, but not twice the national average","Above the national average, but not twice the national average",Less than the state average,Less than the state average,,0,0,0,0
22079,2021,Rapides Parish,11/26/21,299,357,129648,23.06244601,27.53609774,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,2,0,0,0
22081,2021,Red River Parish,11/26/21,28,20,8442,33.16749585,23.69106847,Greater than twice the national average,"Above the national average, but not twice the national average","Above the state average, but not twice the state average",Less than the state average,,0,0,0,0
22083,2021,Richland Parish,7/2/21,21,112,20122,10.43633834,55.66047113,Less than the national average,Greater than twice the national average,Less than the state average,Greater than twice the state average,,0,0,0,0
22085,2021,Sabine Parish,11/26/21,58.5,50,23884,24.49338469,20.93451683,"Above the national average, but not twice the national average","Above the national average, but not twice the national average",Less than the state average,Less than the state average,,0,0,0,0
22087,2021,St. Bernard Parish,11/26/21,155,96,47244,32.80839895,20.32004064,Greater than twice the national average,"Above the national average, but not twice the national average","Above the state average, but not twice the state average",Less than the state average,,0,0,0,0
22089,2021,St. Charles Parish,11/26/21,83,67,53100,15.63088512,12.61770245,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,,0,0,0,0
22091,2021,St. Helena Parish,11/26/21,32,12,10132,31.58310304,11.84366364,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,,0,0,0,0
22093,2021,St. James Parish,11/26/21,66,22,21096,31.28555176,10.42851725,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,,0,0,0,0
22095,2021,St. John the Baptist Parish,11/26/21,12,39,42837,2.801316619,9.104279011,Less than the national average,Less than the national average,Less than the state average,Less than the state average,,0,0,0,0
22097,2021,St. Landry Parish,11/26/21,195.3,199,82124,23.78111149,24.2316497,"Above the national average, but not twice the national average","Above the national average, but not twice the national average",Less than the state average,Less than the state average,,0,0,0,0
22099,2021,St. Martin Parish,11/26/21,149,111,53431,27.88643297,20.77445678,Greater than twice the national average,"Above the national average, but not twice the national average","Above the state average, but not twice the state average",Less than the state average,,0,0,0,0
22101,2021,St. Mary Parish,7/2/21,127,160,49348,25.73559212,32.42279322,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22103,2021,St. Tammany Parish,11/26/21,549,669,260419,21.08141111,25.68936982,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,Less than the state average,,2,0,0,0
22105,2021,Tangipahoa Parish,11/26/21,309,355,134758,22.92999302,26.34351949,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,Less than the state average,,0,0,0,0
22107,2021,Tensas Parish,11/26/21,79,10,4334,182.2796493,23.07337333,Greater than twice the national average,"Above the national average, but not twice the national average",Greater than twice the state average,Less than the state average,,0,0,0,0
22109,2021,Terrebonne Parish,7/2/21,346,283,110461,31.32327247,25.61990205,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average",Less than the state average,,0,0,0,0
22111,2021,Union Parish,11/26/21,119,66,22108,53.82666908,29.85344672,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,0,0,0,0
22113,2021,Vermilion Parish,11/26/21,109,170,59511,18.31594159,28.56614743,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22115,2021,Vernon Parish,11/26/21,123,148,47429,25.9335006,31.20453731,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22117,2021,Washington Parish,11/26/21,183,226,46194,39.61553448,48.9241027,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,0,0,0,0
22119,2021,Webster Parish,11/26/21,129,208,38340,33.64632238,54.25143453,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average",Greater than twice the state average,,0,0,0,0
22121,2021,West Baton Rouge Parish,11/26/21,129,121,26465,48.74362365,45.72076327,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,0,0,0,0
22123,2021,West Carroll Parish,11/26/21,15,50,10830,13.85041551,46.16805171,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22125,2021,West Feliciana Parish,11/26/21,14,22,15568,8.992805755,14.1315519,Less than the national average,"Above the national average, but not twice the national average",Less than the state average,Less than the state average,,0,0,0,0
22127,2021,Winn Parish,11/26/21,83,50,13904,59.69505178,35.96087457,Greater than twice the national average,Greater than twice the national average,Greater than twice the state average,"Above the state average, but not twice the state average",,0,0,0,0
