uuid,fips,urbanicity,name,type,juvenile_type,operator,capacity,private_name,ice_active,num_facilities,twp,facility_name,address,city,zip,lat,lon,facility_name_2,address_2,city_2,zip_2,lat_2,lon_2,facility_name_3,address_3,city_3,zip_3,lat_3,lon_3,coj_adultm,coj_adultf,coj_juvm, coj_juvf,coj_totgender,adltjuv,state_doc,state_doc_twp,state_doc_total,out_of_state,federal,ice,pretrial,parish_hold,total_pop,map_jails,map_twp,map_private,map_prison,map_juvenile,est_doc_rev,GT_1000_beds_99,GT_1000_beds_19
193,22109,small/mid,Terrebonne Parish,TWP Facility,,Sheriff,124,,0,1,1,Terrebonne Parish Transitional Work Program,3181 Grand Caillou Road,Houma,70361,29.5217994,-90.6730786,,,,,,,,,,,,,110,0,0,0,110,0,0,13,13,0,0,0,0,0,13,0,1,0,0,0,58126.25,0,0
194,22109,small/mid,Terrebonne Parish,Jail,,Sheriff,68,,0,1,0,Terrebonne Parish Annex,7857 Main Street,Houma,70361,29.63743,-90.76021,,,,,,,,,,,,,,,,,,,16,0,16,0,0,0,0,0,16,1,0,0,0,0,154117.6,0,0
195,22109,small/mid,Terrebonne Parish,Juvenile,Detention,Parish,32,,0,1,0,Terrebonne Parish Juvenile Justice Complex,180 Government Street,Gray,70359,29.68899841,-90.78255029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,0
196,22111,small/mid,Union Parish,Jail,,Police Jury,388,,0,1,1,Union Parish Detention Center,707 Rodeo Circle,Farmerville,71241,32.7691897,-92.4124573,,,,,,,,,,,,,381,0,0,0,381,0,139,72,211,0,0,0,119,3,333,1,1,0,0,0,1660826.65,0,0
197,22113,small/mid,Vermilion Parish,Jail,,Sheriff,151,,0,1,0,Vermillion Parish Jail,14202 Allen M. Bares Rd,Abbeville,70510,29.9467789,-92.0918807,,,,,,,,,,,,,145,6,0,0,151,0,33,0,33,0,0,0,109,0,142,1,0,0,0,0,317867.55,0,0
198,22113,small/mid,Vermilion Parish,Holding Cell,,City,4,,0,1,0,Erath City Jail,114 West Bourque Street,Erath,70533,29.9573379,-92.0354228,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
199,22115,rural,Vernon Parish,Jail,,City,39,,0,1,0,Leesville City Jail,101 West Lee Street,Leesville,71446,31.143532,-93.2642562,,,,,,,,,,,,,4,6,0,0,10,0,,,,,,,,,,1,0,0,0,0,,0,0
200,22115,rural,Vernon Parish,Jail,,Sheriff,160,,0,1,0,Vernon Parish Jail,1203 South Fourth Street,Leesville,71446,31.13239985,-93.26380722,,,,,,,,,,,,,,,,,,,10,0,10,0,0,0,123,0,133,1,0,0,0,0,96323.5,0,0
201,22117,rural,Washington Parish,Jail,,City,40,,0,1,0,Bogalusa City Jail,111 Memphis Street,Bogalusa,70426,30.7861454,-89.8613608,,,,,,,,,,,,,23,9,0,0,32,0,4,0,4,0,0,0,0,13,17,1,0,0,0,0,38529.4,0,0
202,22117,rural,Washington Parish,Jail,,Sheriff,174,,0,1,0,Washington Parish Jail,1002 Main Street,Franklinton,70438,30.8437893,-90.1560088,,,,,,,,,,,,,154,20,0,0,174,0,11,0,11,0,0,0,183,0,194,1,0,0,0,0,105955.85,0,0
